id,Inlock,cct_primera_opcion,nombre_primera_opcion,turno_primera_opcion,CCT_PROCED,nombre_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Coord_x_procedencia,Coord_y_procedencia
42,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR0071N,ING. ARMANDO I. SANTACRUZ,-99.0809,19.4505,-99.089708,19.437515
43,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR5034M,KUKULKAN,-99.0809,19.4505,-99.0852,19.4834
44,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR0977U,LIC. ERNESTO ENRIQUEZ,-99.0809,19.4505,-99.0978,19.4436
45,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1408J,JOSÉ CLEMENTE OROZCO,-99.0809,19.4505,-99.1011,19.4536
46,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1445N,WINSTON CHURCHILL,-99.0809,19.4505,-99.0844,19.4486
47,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1408J,JOSÉ CLEMENTE OROZCO,-99.0809,19.4505,-99.1011,19.4536
48,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1063G,PRESIDENTE MIGUEL ALEMAN,-99.0809,19.4505,-99.0716,19.42
49,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1420E,JUAN RUIZ DE ALARCON,-99.0809,19.4505,-99.0886,19.4619
50,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1452X,TURQUIA,-99.0809,19.4505,-99.0961,19.4562
51,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR2195E,FORJADORES DE LA CULTURA,-99.0809,19.4505,-99.087,19.4575
52,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1452X,TURQUIA,-99.0809,19.4505,-99.0961,19.4562
53,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1377G,LUIS G. LOZANO,-99.0809,19.4505,-99.0992,19.4697
54,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1361F,ANA MARIA BERLANGA,-99.0809,19.4505,-99.0947,19.4601
